"account_status","loan_duration_mths","credit_history","loan_purpose","credit_amount","savings","employment_duration","installment_rate","marital_status","other_debtors","residence_since","property","age_yrs","other_installment_plans","housing","existing_credits","occupation","people_liable","telephone","foreign_worker","target","target_bad"
"No checking account",12,"Existing credits paid back duly till now","Car (new)",1101,"< 100 DM","1 to < 4 years","20% to < 25%","Male married/widowed","None","1 to < 4 years","Real estate",27,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",12,"Existing credits paid back duly till now","Radio / television",3016,"< 100 DM","1 to < 4 years","20% to < 25%","Male married/widowed","None","< 1 year","Car or other property",24,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",36,"Existing credits paid back duly till now","Furniture / equipment",2712,"< 100 DM",">= 7 years","25% to < 35%","Male single","None","1 to < 4 years","Building society savings / life insurance",41,"Bank","Own","1","Skilled employee / official","3 or more","None","Yes","Bad",1
"< 0 DM",8,"Critical account / other credits existing","Car (new)",731,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Real estate",47,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",18,"Critical account / other credits existing","Furniture / equipment",3780,"< 100 DM","< 1 year","20% to < 25%","Male divorced/separated","None","1 to < 4 years","Car or other property",35,"None","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"< 0 DM",21,"Critical account / other credits existing","Car (new)",1602,"< 100 DM",">= 7 years","< 20%","Male married/widowed","None","4 to < 7 years","Car or other property",30,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",18,"Critical account / other credits existing","Car (new)",3966,"< 100 DM",">= 7 years",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Real estate",33,"Bank","Rent","4 to 5","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",18,"No credits taken / all credits paid back duly","Business",4165,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Car or other property",36,"Stores","Own","2 to 3","Skilled employee / official","3 or more","None","Yes","Bad",1
"< 0 DM",36,"Existing credits paid back duly till now","Car (used)",8335,"Unknown / no savings account",">= 7 years","20% to < 25%","Male single","None",">= 7 years","Unknown / no property",47,"None","For free","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",48,"Delay in paying off in the past","Business",6681,"Unknown / no savings account","1 to < 4 years","< 20%","Male single","None",">= 7 years","Unknown / no property",38,"None","For free","1","Skilled employee / official","3 or more","Yes","Yes","Good",0
"No checking account",24,"Delay in paying off in the past","Business",2375,"500 to < 1000 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Car or other property",44,"None","Own","2 to 3","Skilled employee / official","3 or more","Yes","Yes","Good",0
"< 0 DM",18,"Existing credits paid back duly till now","Car (new)",1216,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None","4 to < 7 years","Car or other property",23,"None","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"< 0 DM",45,"No credits taken / all credits paid back duly","Business",11816,"< 100 DM",">= 7 years","25% to < 35%","Male single","None",">= 7 years","Car or other property",29,"None","Rent","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",24,"Existing credits paid back duly till now","Radio / television",5084,"Unknown / no savings account",">= 7 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Car or other property",42,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",15,"Existing credits paid back duly till now","Radio / television",2327,"< 100 DM","< 1 year","25% to < 35%","Female divorced/separated/married","None","4 to < 7 years","Real estate",25,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"< 0 DM",12,"No credits taken / all credits paid back duly","Car (new)",1082,"< 100 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Car or other property",48,"Bank","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",12,"Existing credits paid back duly till now","Radio / television",886,"Unknown / no savings account","1 to < 4 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",21,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",4,"Existing credits paid back duly till now","Furniture / equipment",601,"< 100 DM","< 1 year",">= 35% of disposable income","Female divorced/separated/married","None","4 to < 7 years","Real estate",23,"None","Rent","1","Unskilled resident","3 or more","None","Yes","Good",0
"< 0 DM",24,"Critical account / other credits existing","Car (used)",2957,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Building society savings / life insurance",63,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",24,"Critical account / other credits existing","Radio / television",2611,"< 100 DM",">= 7 years","< 20%","Male married/widowed","Co-applicant","4 to < 7 years","Real estate",46,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",36,"Existing credits paid back duly till now","Furniture / equipment",5179,"< 100 DM","4 to < 7 years","< 20%","Male single","None","1 to < 4 years","Building society savings / life insurance",29,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",21,"Delay in paying off in the past","Car (used)",2993,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None","1 to < 4 years","Real estate",28,"Stores","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",18,"Existing credits paid back duly till now","Repairs",1943,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None",">= 7 years","Real estate",23,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",24,"All credits at this bank paid back duly","Business",1559,"< 100 DM","4 to < 7 years","< 20%","Male single","None",">= 7 years","Car or other property",50,"Bank","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",18,"Existing credits paid back duly till now","Furniture / equipment",3422,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Building society savings / life insurance",47,"Bank","Own","4 to 5","Skilled employee / official","3 or more","Yes","Yes","Good",0
"0 to < 200 DM",21,"Existing credits paid back duly till now","Furniture / equipment",3976,"Unknown / no savings account","4 to < 7 years","25% to < 35%","Male single","None","4 to < 7 years","Car or other property",35,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",18,"Existing credits paid back duly till now","Car (new)",6761,"Unknown / no savings account","1 to < 4 years","25% to < 35%","Male single","None",">= 7 years","Car or other property",68,"None","Rent","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",24,"Existing credits paid back duly till now","Car (new)",1249,"< 100 DM","< 1 year","< 20%","Male married/widowed","None","1 to < 4 years","Real estate",28,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",9,"Existing credits paid back duly till now","Radio / television",1364,"< 100 DM","4 to < 7 years","20% to < 25%","Male single","None",">= 7 years","Real estate",59,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Radio / television",709,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Real estate",57,"Stores","Own","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"< 0 DM",20,"Critical account / other credits existing","Car (new)",2235,"< 100 DM","1 to < 4 years","< 20%","Male married/widowed","Guarantor","1 to < 4 years","Building society savings / life insurance",33,"Bank","Rent","2 to 3","Skilled employee / official","0 to 2","None","No","Bad",1
"No checking account",24,"Critical account / other credits existing","Car (used)",4042,"Unknown / no savings account","4 to < 7 years","20% to < 25%","Male single","None",">= 7 years","Building society savings / life insurance",43,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",15,"Critical account / other credits existing","Radio / television",1471,"< 100 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Unknown / no property",35,"None","For free","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",18,"All credits at this bank paid back duly","Car (new)",1442,"< 100 DM","4 to < 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",32,"None","For free","2 to 3","Unskilled resident","3 or more","None","Yes","Bad",1
"No checking account",36,"Delay in paying off in the past","Car (new)",10875,"< 100 DM",">= 7 years","25% to < 35%","Male single","None","1 to < 4 years","Car or other property",45,"None","Own","2 to 3","Skilled employee / official","3 or more","Yes","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Car (new)",1474,"100 to < 500 DM","< 1 year","< 20%","Male married/widowed","None","4 to < 7 years","Real estate",33,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",10,"Existing credits paid back duly till now","Retraining",894,"Unknown / no savings account","4 to < 7 years","< 20%","Female divorced/separated/married","None","4 to < 7 years","Building society savings / life insurance",40,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",15,"Critical account / other credits existing","Furniture / equipment",3343,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Unknown / no property",28,"None","For free","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",15,"Existing credits paid back duly till now","Car (new)",3959,"< 100 DM","1 to < 4 years","20% to < 25%","Female divorced/separated/married","None","1 to < 4 years","Building society savings / life insurance",29,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",9,"Existing credits paid back duly till now","Car (new)",3577,"100 to < 500 DM","1 to < 4 years",">= 35% of disposable income","Male single","Guarantor","1 to < 4 years","Real estate",26,"None","Rent","1","Skilled employee / official","3 or more","None","No","Good",0
"No checking account",24,"Critical account / other credits existing","Car (used)",5804,">= 1000 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Real estate",27,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",18,"Delay in paying off in the past","Business",2169,"< 100 DM","1 to < 4 years","< 20%","Male married/widowed","None","1 to < 4 years","Car or other property",28,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"< 0 DM",24,"Existing credits paid back duly till now","Radio / television",2439,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None",">= 7 years","Real estate",35,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",27,"Critical account / other credits existing","Furniture / equipment",4526,">= 1000 DM","< 1 year","< 20%","Male single","None","1 to < 4 years","Real estate",32,"Stores","Own","2 to 3","Unskilled resident","3 or more","Yes","Yes","Good",0
"No checking account",10,"Existing credits paid back duly till now","Furniture / equipment",2210,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Real estate",25,"Bank","Rent","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"No checking account",15,"Existing credits paid back duly till now","Furniture / equipment",2221,"500 to < 1000 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Car or other property",20,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",18,"Existing credits paid back duly till now","Radio / television",2389,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None","< 1 year","Car or other property",27,"Stores","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",12,"Critical account / other credits existing","Furniture / equipment",3331,"< 100 DM",">= 7 years","25% to < 35%","Male single","None",">= 7 years","Building society savings / life insurance",42,"Stores","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",36,"Existing credits paid back duly till now","Business",7409,"Unknown / no savings account",">= 7 years","20% to < 25%","Male single","None","1 to < 4 years","Building society savings / life insurance",37,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Furniture / equipment",652,"< 100 DM",">= 7 years","< 20%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",24,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",36,"Delay in paying off in the past","Furniture / equipment",7678,"500 to < 1000 DM","4 to < 7 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Car or other property",40,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",6,"Critical account / other credits existing","Car (new)",1343,"< 100 DM",">= 7 years",">= 35% of disposable income","Male single","None",">= 7 years","Real estate",46,"None","Own","2 to 3","Skilled employee / official","3 or more","None","No","Good",0
"< 0 DM",24,"Critical account / other credits existing","Business",1382,"100 to < 500 DM","4 to < 7 years","< 20%","Male single","None","< 1 year","Real estate",26,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",15,"Existing credits paid back duly till now","Domestic appliances",874,"Unknown / no savings account","< 1 year","< 20%","Female divorced/separated/married","None","< 1 year","Real estate",24,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Furniture / equipment",3590,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","Co-applicant","1 to < 4 years","Building society savings / life insurance",29,"None","Own","1","Unskilled resident","3 or more","None","Yes","Good",0
"0 to < 200 DM",11,"Critical account / other credits existing","Car (new)",1322,">= 1000 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None",">= 7 years","Car or other property",40,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",18,"All credits at this bank paid back duly","Radio / television",1940,"< 100 DM","< 1 year","20% to < 25%","Male single","Co-applicant",">= 7 years","Unknown / no property",36,"Bank","For free","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"No checking account",36,"Existing credits paid back duly till now","Radio / television",3595,"< 100 DM",">= 7 years","< 20%","Male single","None","1 to < 4 years","Car or other property",28,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",9,"Existing credits paid back duly till now","Car (new)",1422,"< 100 DM","< 1 year","20% to < 25%","Male single","None","1 to < 4 years","Unknown / no property",27,"None","For free","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"No checking account",30,"Critical account / other credits existing","Radio / television",6742,"Unknown / no savings account","4 to < 7 years","25% to < 35%","Male single","None","4 to < 7 years","Building society savings / life insurance",36,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Car (used)",7814,"< 100 DM","4 to < 7 years","20% to < 25%","Male single","None","4 to < 7 years","Car or other property",38,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Car (used)",9277,"Unknown / no savings account","1 to < 4 years","25% to < 35%","Male divorced/separated","None",">= 7 years","Unknown / no property",48,"None","For free","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",30,"Critical account / other credits existing","Car (new)",2181,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Real estate",36,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",18,"Critical account / other credits existing","Radio / television",1098,"< 100 DM","Unemployed","< 20%","Female divorced/separated/married","None",">= 7 years","Car or other property",65,"None","Own","2 to 3","Unemployed / unskilled non-resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",24,"Existing credits paid back duly till now","Furniture / equipment",4057,"< 100 DM","4 to < 7 years","20% to < 25%","Male divorced/separated","None","4 to < 7 years","Car or other property",43,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"< 0 DM",12,"Existing credits paid back duly till now","Education",795,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",53,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",24,"Critical account / other credits existing","Business",2825,"Unknown / no savings account","4 to < 7 years","< 20%","Male single","None","4 to < 7 years","Unknown / no property",34,"None","Own","2 to 3","Skilled employee / official","3 or more","Yes","Yes","Good",0
"0 to < 200 DM",48,"Existing credits paid back duly till now","Business",15672,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Car or other property",23,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",36,"Critical account / other credits existing","Car (new)",6614,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Car or other property",34,"None","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"No checking account",28,"All credits at this bank paid back duly","Car (used)",7824,"Unknown / no savings account","< 1 year","20% to < 25%","Male single","Guarantor",">= 7 years","Real estate",40,"Bank","Rent","2 to 3","Skilled employee / official","3 or more","Yes","Yes","Good",0
"< 0 DM",27,"Critical account / other credits existing","Business",2442,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Car or other property",43,"Stores","Own",">= 6","Manager / self-employed / highly qualified","3 or more","Yes","Yes","Good",0
"No checking account",15,"Critical account / other credits existing","Radio / television",1829,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Car or other property",46,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",12,"Critical account / other credits existing","Car (new)",2171,"< 100 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Building society savings / life insurance",38,"Bank","Own","2 to 3","Unskilled resident","0 to 2","None","No","Good",0
"0 to < 200 DM",36,"Critical account / other credits existing","Car (used)",5800,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None",">= 7 years","Car or other property",34,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",18,"Critical account / other credits existing","Radio / television",1169,"Unknown / no savings account","1 to < 4 years","< 20%","Male single","None","4 to < 7 years","Building society savings / life insurance",29,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",36,"Delay in paying off in the past","Car (used)",8947,"Unknown / no savings account","4 to < 7 years","20% to < 25%","Male single","None","1 to < 4 years","Car or other property",31,"Stores","Own","1","Manager / self-employed / highly qualified","3 or more","Yes","Yes","Good",0
"< 0 DM",21,"Existing credits paid back duly till now","Radio / television",2606,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",28,"None","Rent","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Critical account / other credits existing","Furniture / equipment",1592,">= 1000 DM","4 to < 7 years","20% to < 25%","Female divorced/separated/married","None","1 to < 4 years","Building society savings / life insurance",35,"None","Own","1","Skilled employee / official","0 to 2","None","No","Good",0
"No checking account",15,"Existing credits paid back duly till now","Furniture / equipment",2186,"Unknown / no savings account","4 to < 7 years",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Real estate",33,"Bank","Rent","1","Unskilled resident","0 to 2","None","Yes","Good",0
"< 0 DM",18,"Existing credits paid back duly till now","Furniture / equipment",4153,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","Co-applicant","4 to < 7 years","Car or other property",42,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",16,"Critical account / other credits existing","Car (new)",2625,"< 100 DM",">= 7 years","25% to < 35%","Male single","Guarantor",">= 7 years","Building society savings / life insurance",43,"Bank","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",20,"Critical account / other credits existing","Car (new)",3485,"Unknown / no savings account","< 1 year","25% to < 35%","Male divorced/separated","None",">= 7 years","Real estate",44,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",36,"Critical account / other credits existing","Car (used)",10477,"Unknown / no savings account",">= 7 years","25% to < 35%","Male single","None",">= 7 years","Unknown / no property",42,"None","For free","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",15,"Existing credits paid back duly till now","Radio / television",1386,"Unknown / no savings account","1 to < 4 years","< 20%","Male married/widowed","None","1 to < 4 years","Real estate",40,"None","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Radio / television",1278,"< 100 DM",">= 7 years","< 20%","Male single","None","< 1 year","Real estate",36,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Radio / television",1107,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Real estate",20,"None","Rent","1","Manager / self-employed / highly qualified","3 or more","Yes","Yes","Good",0
"< 0 DM",21,"Existing credits paid back duly till now","Car (new)",3763,"Unknown / no savings account","4 to < 7 years","25% to < 35%","Male single","Co-applicant","1 to < 4 years","Real estate",24,"None","Own","1","Unskilled resident","0 to 2","None","No","Good",0
"0 to < 200 DM",36,"Existing credits paid back duly till now","Education",3711,"Unknown / no savings account","1 to < 4 years","25% to < 35%","Male married/widowed","None","1 to < 4 years","Car or other property",27,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",15,"Delay in paying off in the past","Car (used)",3594,"< 100 DM","< 1 year",">= 35% of disposable income","Female divorced/separated/married","None","1 to < 4 years","Building society savings / life insurance",46,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",9,"Existing credits paid back duly till now","Car (new)",3195,"Unknown / no savings account","1 to < 4 years",">= 35% of disposable income","Female divorced/separated/married","None","1 to < 4 years","Real estate",33,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",36,"Delay in paying off in the past","Radio / television",4454,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None",">= 7 years","Real estate",34,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",24,"Critical account / other credits existing","Furniture / equipment",4736,"< 100 DM","< 1 year","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Car or other property",25,"Bank","Own","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",30,"Existing credits paid back duly till now","Radio / television",2991,"Unknown / no savings account",">= 7 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Car or other property",25,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",11,"Existing credits paid back duly till now","Business",2142,">= 1000 DM",">= 7 years",">= 35% of disposable income","Male divorced/separated","None","1 to < 4 years","Real estate",28,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",24,"All credits at this bank paid back duly","Business",3161,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Building society savings / life insurance",31,"None","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"0 to < 200 DM",48,"No credits taken / all credits paid back duly","Others",18424,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Female divorced/separated/married","None","1 to < 4 years","Building society savings / life insurance",32,"Bank","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","No","Bad",1
"No checking account",10,"Existing credits paid back duly till now","Car (used)",2848,"100 to < 500 DM","1 to < 4 years",">= 35% of disposable income","Male single","Co-applicant","1 to < 4 years","Real estate",32,"None","Own","1","Skilled employee / official","3 or more","None","Yes","Good",0
"< 0 DM",6,"Existing credits paid back duly till now","Car (new)",14896,"< 100 DM",">= 7 years",">= 35% of disposable income","Male single","None",">= 7 years","Unknown / no property",68,"Bank","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"< 0 DM",24,"Existing credits paid back duly till now","Furniture / equipment",2359,"100 to < 500 DM","Unemployed",">= 35% of disposable income","Male divorced/separated","None","< 1 year","Building society savings / life insurance",33,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",24,"Existing credits paid back duly till now","Furniture / equipment",3345,"< 100 DM",">= 7 years","< 20%","Male single","None","1 to < 4 years","Building society savings / life insurance",39,"None","Rent","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"No checking account",18,"Critical account / other credits existing","Furniture / equipment",1817,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Unknown / no property",28,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",48,"Delay in paying off in the past","Radio / television",12749,"500 to < 1000 DM","4 to < 7 years","< 20%","Male single","None","< 1 year","Car or other property",37,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"< 0 DM",9,"Existing credits paid back duly till now","Radio / television",1366,"< 100 DM","< 1 year","20% to < 25%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",22,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",12,"Existing credits paid back duly till now","Car (new)",2002,"< 100 DM","4 to < 7 years","20% to < 25%","Male single","None",">= 7 years","Building society savings / life insurance",30,"None","Rent","1","Skilled employee / official","3 or more","Yes","Yes","Good",0
"< 0 DM",24,"All credits at this bank paid back duly","Furniture / equipment",6872,"< 100 DM","< 1 year","25% to < 35%","Male divorced/separated","None","< 1 year","Building society savings / life insurance",55,"Bank","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"< 0 DM",12,"All credits at this bank paid back duly","Car (new)",697,"< 100 DM","< 1 year","< 20%","Male single","None","1 to < 4 years","Car or other property",46,"Bank","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"< 0 DM",18,"Critical account / other credits existing","Furniture / equipment",1049,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",21,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",48,"Existing credits paid back duly till now","Car (used)",10297,"< 100 DM","4 to < 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",39,"Stores","For free","4 to 5","Skilled employee / official","3 or more","Yes","Yes","Bad",1
"No checking account",30,"Existing credits paid back duly till now","Radio / television",1867,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Car or other property",58,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",12,"Delay in paying off in the past","Car (new)",1344,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Real estate",43,"None","Own","2 to 3","Unskilled resident","3 or more","None","Yes","Good",0
"< 0 DM",24,"Existing credits paid back duly till now","Furniture / equipment",1747,"< 100 DM","< 1 year","< 20%","Male single","Co-applicant","< 1 year","Building society savings / life insurance",24,"None","Own","1","Unskilled resident","0 to 2","None","No","Good",0
"0 to < 200 DM",9,"Existing credits paid back duly till now","Radio / television",1670,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",22,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",9,"Critical account / other credits existing","Car (new)",1224,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None","< 1 year","Real estate",30,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",12,"Critical account / other credits existing","Radio / television",522,"500 to < 1000 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Building society savings / life insurance",42,"None","Own","2 to 3","Skilled employee / official","3 or more","Yes","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Radio / television",1498,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","< 1 year","Car or other property",23,"Bank","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
